_date,_subject,q10_open_response,q1_role,q2_industry,q3_agent_status,q4_opportunity_areas,q5_oversight_policy,q6_accountability,q7_trust_comparison,q8_two_year_forecast,q9_biggest_barrier,_status
2026-05-21T16:45:06.505352,ZAI Survey Response — Agent Readiness Gap (May 2026),,other,govt_nonprofit,piloting,cust_service,informal,na,human_slightly,thirty_50,security,
2026-05-21T16:43:24.265400,ZAI Survey Response — Agent Readiness Gap (May 2026),,other,tech,piloting,"cust_service, finance, compliance",informal,deployer,equal,five_15,expertise,
2026-05-21T16:29:58.433950,ZAI Survey Response — Agent Readiness Gap (May 2026),Important governance and oversight protocols should be in place. Clear ROI guidelines are also important. ,c_suite,manufacturing,piloting,"cust_service, hr, finance",in_progress,undecided,human_slightly,five_15,leadership,
2026-05-21T16:23:02.204446,ZAI Survey Response — Agent Readiness Gap (May 2026),,manager,other,piloting,"cust_service, research, knowledge",formal_policy,deployer,human_slightly,thirty_50,security,
2026-05-21T16:19:18.837760,ZAI Survey Response — Agent Readiness Gap (May 2026),,evp_svp,tech,in_production,"cust_service, marketing, it_eng",in_progress,deployer,equal,thirty_50,accuracy,
2026-05-21T15:53:48.412385,ZAI Survey Response — Agent Readiness Gap (May 2026),,director,prof_services,in_production,"finance, it_eng, research",formal_policy,deployer,equal,fifteen_30,accuracy,
2026-05-21T15:43:38.854948,ZAI Survey Response — Agent Readiness Gap (May 2026),,c_suite,prof_services,in_production,"sales, it_eng, exec_support",formal_policy,reviewer,agent_much_more,fifteen_30,security,
2026-05-21T15:37:47.616174,ZAI Survey Response — Agent Readiness Gap (May 2026),,evp_svp,consumer,piloting,"cust_service, research, knowledge",in_progress,reviewer,agent_slightly,five_15,expertise,
2026-05-21T15:37:42.276020,ZAI Survey Response — Agent Readiness Gap (May 2026),,vp,tech,in_production,"cust_service, finance, it_eng",informal,deployer,human_much_more,five_15,expertise,
2026-05-21T15:37:31.535515,ZAI Survey Response — Agent Readiness Gap (May 2026),,c_suite,manufacturing,not_started,"sales, marketing, it_eng",not_addressed,na,agent_much_more,thirty_50,budget,
2026-05-21T15:35:31.707052,ZAI Survey Response — Agent Readiness Gap (May 2026),,c_suite,prof_services,in_production,"marketing, it_eng, research",informal,reviewer,human_slightly,over_50,accuracy,
2026-05-21T15:32:53.814355,ZAI Survey Response — Agent Readiness Gap (May 2026),,other,govt_nonprofit,piloting,cust_service,informal,dept,human_much_more,five_15,no_need,
2026-05-21T15:29:25.058408,ZAI Survey Response — Agent Readiness Gap (May 2026),,vp,manufacturing,exploring,"research, knowledge",not_addressed,reviewer,human_slightly,fifteen_30,leadership,
2026-05-21T15:29:14.661657,ZAI Survey Response — Agent Readiness Gap (May 2026),"AI is constrained by its own architecture.  Pattern recognition, logic, drifting, hallucinations.  It lacks the ability to align with crucial human abilities:nuance, sense , feel that are critical to customer interactions. 

AI is lacking critical decision making ability that requires cognitive abilities.  Ai is a system that functions well in general situations but lacks the ability to produce content or contest that hasn’t been thoroughly vetted and validated.  If you’re looking to disrupt a market narrative AI doesn’t perform well and sees disruption as something to be corrected because it’s illogical or doesn’t adhere to institutional or scientific principles. ",c_suite,prof_services,in_production,"sales, marketing, research",formal_policy,na,human_much_more,under_5,accuracy,
2026-05-21T15:28:42.334332,ZAI Survey Response — Agent Readiness Gap (May 2026),,other,govt_nonprofit,exploring,"cust_service, marketing, knowledge",not_addressed,undecided,human_slightly,fifteen_30,accuracy,
2026-05-21T15:25:28.968368,ZAI Survey Response — Agent Readiness Gap (May 2026),,manager,consumer,piloting,"cust_service, sales, knowledge",formal_policy,na,equal,five_15,security,
2026-05-21T15:13:23.196986,ZAI Survey Response — Agent Readiness Gap (May 2026),"Business leaders preparing for an agent‑driven workforce should also understand:

Work design must be rebuilt, not just updated — roles, workflows, and operating models need restructuring so humans and agents collaborate by default. 

Human skills become more valuable, especially judgment, contextual awareness, and critical thinking as agents take over routine tasks. 

Performance management will change, with AI‑collaboration competencies and agent‑delegation skills becoming part of evaluations and promotion criteria. 

Governance and risk models must evolve to address autonomous agent behavior, oversight, and accountability. 

Agent orchestration is a leadership skill, requiring managers to coordinate humans and AI agents like a blended team rather than treating AI as a tool. ",director,tech,in_production,"marketing, it_eng, compliance",formal_policy,reviewer,human_slightly,unsure,accuracy,
2026-05-21T14:55:44.480665,ZAI Survey Response — Agent Readiness Gap (May 2026),"There are compliance roles where Agents fit well and are augmenting humans.  There are excellent research tools providing more insights than we could have had prior so we can improve faster. With that said, I am concerned if society moves too fast it can disrupt the workforce by more than 24.5% which is the level of unemployment during Great Depression. If people are under employed, our consumer economy suffers and then B2B suffers.  We need formalized study on the interdependencies so that business leaders and policy makers can achieve alignment on services to 'reskill' labor and help those displaced to find new work so they can continue to make income, pay taxes and consume products and services so we don't experience Great Depression 2.0.  It would be great to see Mankato State and similar universities collaborate both on the study and the ways they can help retrain today's workforce quickly for jobs of tomorrow.  Otherwise, we won't see the true benefits of AI and agents.  ",vp,tech,piloting,"cust_service, it_eng, compliance",informal,dept,agent_slightly,fifteen_30,resistance,
2026-05-21T14:53:29.223750,ZAI Survey Response — Agent Readiness Gap (May 2026),,evp_svp,tech,in_production,hr,formal_policy,reviewer,human_slightly,thirty_50,budget,
2026-05-21T14:53:16.714845,ZAI Survey Response — Agent Readiness Gap (May 2026),,director,healthcare,piloting,research,informal,dept,equal,fifteen_30,accuracy,
2026-05-21T14:42:53.170190,ZAI Survey Response — Agent Readiness Gap (May 2026),,manager,financial,exploring,"marketing, research, knowledge",na,na,human_much_more,fifteen_30,security,
2026-05-21T14:40:03.521439,ZAI Survey Response — Agent Readiness Gap (May 2026),,manager,consumer,piloting,"it_eng, research, knowledge",informal,dept,human_slightly,fifteen_30,security,
2026-05-21T14:34:22.920602,ZAI Survey Response — Agent Readiness Gap (May 2026),,director,other,piloting,"sales, marketing, research",formal_policy,dept,human_slightly,thirty_50,resistance,
2026-05-21T14:34:18.589203,ZAI Survey Response — Agent Readiness Gap (May 2026),,other,healthcare,in_production,"cust_service, marketing, compliance",formal_policy,vendor,equal,unsure,security,
2026-05-21T12:38:07.127044,ZAI Survey Response — Agent Readiness Gap (May 2026),,director,healthcare,exploring,"cust_service, compliance, exec_support",formal_policy,reviewer,human_slightly,five_15,expertise,
2026-05-20T22:24:44.032000,ZAI Survey Response — Agent Readiness Gap (May 2026),Agents need clear feedback and evaluations. They're like the most capable interns ever. ,c_suite,prof_services,in_production,"marketing, hr, finance",informal,reviewer,equal,thirty_50,security,
2026-05-20T20:01:38.897905,ZAI Survey Response — Agent Readiness Gap (May 2026),,c_suite,tech,in_production,hr,formal_policy,dept,agent_much_more,over_50,no_need,
2026-05-20T18:53:55.763403,ZAI Survey Response — Agent Readiness Gap (May 2026),,vp,govt_nonprofit,piloting,"cust_service, research, knowledge",informal,undecided,human_slightly,five_15,roi,
2026-05-20T18:09:01.477020,ZAI Survey Response — Agent Readiness Gap (May 2026),,director,manufacturing,in_production,"cust_service, sales, finance",informal,reviewer,human_slightly,fifteen_30,security,
2026-05-20T17:20:17.057581,ZAI Survey Response — Agent Readiness Gap (May 2026),,manager,financial,piloting,"cust_service, marketing, compliance",formal_policy,dept,equal,fifteen_30,security,
2026-05-20T17:15:24.021906,ZAI Survey Response — Agent Readiness Gap (May 2026),ITs still garbage in garbage out. Train on curated data vs bulk data. ,c_suite,tech,in_production,"cust_service, marketing, research",formal_policy,reviewer,equal,fifteen_30,security,
2026-05-14T21:33:21.968312,ZAI Survey Response — Agent Readiness Gap (May 2026),,c_suite,prof_services,piloting,knowledge,na,na,human_slightly,thirty_50,budget,
2026-05-14T21:16:06.928859,ZAI Survey Response — Agent Readiness Gap (May 2026),,vp,govt_nonprofit,exploring,"cust_service, knowledge, compliance",in_progress,undecided,equal,unsure,security,
2026-05-14T19:26:24.241436,ZAI Survey Response — Agent Readiness Gap (May 2026),,manager,prof_services,exploring,knowledge,not_addressed,undecided,human_much_more,fifteen_30,no_need,
2026-05-13T20:31:55.257963,ZAI Survey Response — Agent Readiness Gap (May 2026),,other,govt_nonprofit,not_started,"cust_service, it_eng, knowledge",na,na,agent_slightly,unsure,leadership,
2026-05-13T20:26:36.911321,ZAI Survey Response — Agent Readiness Gap (May 2026),,evp_svp,tech,in_production,"finance, it_eng, research",formal_policy,reviewer,human_slightly,thirty_50,expertise,
2026-05-05T19:28:13.526324,ZAI Survey Response — Agent Readiness Gap (May 2026),,manager,other,exploring,"cust_service, finance, knowledge",in_progress,na,agent_slightly,under_5,security,
